study-order,topic-id,question-number,question-id,answer,expected-occurrences,answer-source
570,672,7,236843,20,1,manual-solution
571,672,8,214239,36,1,manual-solution
572,2215,1,231496,"-5a_n, -15",1,manual-solution
573,2215,3,231658,"8f(n), 6",1,manual-solution
574,2215,4,231659,"-f(n)/5, 10",1,manual-solution
575,2215,6,231760,-2*3^(n - 1),1,manual-solution
576,2215,8,252358,18*(2/3)^(n - 1),1,manual-solution
577,2534,4,250935,2/3,1,manual-solution
578,2534,6,250947,5/9,1,manual-solution
579,512,3,262211,3,1,manual-solution
580,512,5,241754,13q,1,manual-solution
581,616,7,336053,-infinity,3,canonical-exact-blank
582,1472,2,228737,2,1,manual-solution
583,1472,3,228738,log_4(2x + 10)/3,1,manual-solution
584,1472,7,250496,-4,1,manual-solution
585,1472,8,228842,(4^(x/5) + 1)/10,1,manual-solution
586,350,1,218675,"3, 4",5,canonical-exact-blank
587,350,4,218740,1,5,canonical-exact-blank
588,350,7,218794,"1, 3",5,canonical-exact-blank
589,350,11,220299,"2, 3",5,canonical-exact-blank
590,3737,2,233242,3log_6(5)/(2 - 4log_6(5)),1,manual-solution
591,3737,3,233243,(1 + ln(2))/(ln(2) - 3),1,manual-solution
592,3737,6,242921,6ln(9)/(3ln(7) + ln(9)),1,manual-solution
593,677,2,233787,2.2,1,manual-solution
594,677,4,250844,0.8,1,manual-solution
595,677,5,233997,3,1,manual-solution
596,677,7,250879,-5,1,manual-solution
597,290,1,181720,3,3,manual-solution
598,290,2,181980,6,3,manual-solution
599,290,5,181940,3,3,manual-solution
600,290,6,181981,-4,3,manual-solution
601,2857,1,276944,-ln(6)/(2ln(8)),5,canonical-exact-blank
602,3958,3,233747,43,7,canonical-exact-blank
603,3958,5,233748,-3,7,canonical-exact-blank
604,3764,2,234001,"2, 9/5",2,canonical-exact-blank
605,3764,3,234002,1 - 48t + 960t^2,2,canonical-exact-blank
606,3764,6,250997,3840,2,canonical-exact-blank
607,1158,2,234173,1.17165,2,canonical-exact-blank
608,1158,3,234174,0.762,2,canonical-exact-blank
609,1158,6,235253,74902.81,2,canonical-exact-blank
610,1158,7,266369,1.53,2,canonical-exact-blank
611,1158,9,266378,4.52,2,canonical-exact-blank
612,4315,2,264067,0.25,1,manual-solution
613,4315,3,264077,5/6,1,manual-solution
614,4315,6,264420,17/60,1,manual-solution
615,1203,2,344692,1,4,canonical-exact-blank
616,3224,2,340375,-1/9,1,manual-solution
617,3224,4,340386,-2/9,1,manual-solution
618,3224,6,340390,-1/9,1,manual-solution
619,1632,1,263259,426/5,1,manual-solution
620,1632,3,263293,166/5,1,manual-solution
621,1632,5,246720,14,1,manual-solution
622,1632,6,263417,188/7,1,manual-solution
623,1632,8,263434,702/7,1,manual-solution
624,1632,10,246726,sqrt(716/25),1,manual-solution
625,126,1,254665,14.6,1,manual-solution
626,126,3,253145,7,1,manual-solution
627,126,4,253146,15.5,1,manual-solution
628,3673,5,353607,6.3,5,canonical-exact-blank
629,3196,2,338801,-e^2,2,manual-solution
630,3197,2,340802,e^2,2,manual-solution
631,3197,3,340814,2pi^2 + 4,2,manual-solution
632,3197,4,340815,-3/pi,2,manual-solution
633,6382,3,341799,0,2,manual-solution
634,6382,4,340853,8,2,manual-solution
635,6382,5,340873,0,2,manual-solution
636,6382,6,340855,36/(5pi),2,manual-solution
637,5204,1,251486,2.3,1,manual-solution
638,5204,3,251494,5,1,manual-solution
639,5204,4,251495,2.56,1,manual-solution
640,5204,5,251426,960,1,manual-solution
641,5204,7,251491,975,1,manual-solution
