study-order,layer,group,course,topic-id,topic-code,topic-name,question-number,question-numbers,question-id,source-blank-count,canonical-occurrences,active-copy-occurrences,total-occurrences,current-types,marker-occurrences,ledger-status,seed-state,seed-source,keyboard-answer,correct-label,correct-content,source-prompt,current-content,layout-template,canonical-placements,active-copy-placements
165,38,Mathematical-Foundations,MF1,1240,MF1.6.1.7,Equations of Lines in Slope-Intercept Form,11,11,179507,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-2x - 4,,,"Written in the form [MATH: y = mx + b,] what is the equation of the line that passes through the points [MATH: (3, − 10)] and [MATH: (0, − 4)?]The equation of the line is [MATH: y =]
[FREE_ENTRY 1].","The line through $(3,-10)$ and $(0,-4)$ has equation $y =$ ==-2x - 4==.","The line through $(3,-10)$ and $(0,-4)$ has equation $y =$ ==-2x - 4==.",vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.1. Graphs of Linear Equations/Lessons/6.1.7. Equations of Lines in Slope-Intercept Form.md,
166,38,Mathematical-Foundations,MF1,657,MF1.11.1.2,The Degree of a Polynomial,2,2,212651,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,8,,,The degree of the polynomial [MATH: 11p^{5} − 7p^{8} + 3p^{2} − 9] is[FREE_ENTRY 1].,"The degree of the polynomial $11p^{5} - 7p^{8} + 3p^{2} - 9$ is

Answer: ==8==.","The degree of the polynomial $11p^{5} - 7p^{8} + 3p^{2} - 9$ is

Answer: ==8==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.2. The Degree of a Polynomial.md,
167,38,Mathematical-Foundations,MF1,657,MF1.11.1.2,The Degree of a Polynomial,5,5,212654,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-4x^8,,,The leading term of the polynomial [MATH: 8x^{2} − 4x^{8} + 3x^{5} + 3x − 1] is[FREE_ENTRY 1].,"The leading term of the polynomial $8x^{2} - 4x^{8} + 3x^{5} + 3x - 1$ is

Answer: ==-4x^8==.","The leading term of the polynomial $8x^{2} - 4x^{8} + 3x^{5} + 3x - 1$ is

Answer: ==-4x^8==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.2. The Degree of a Polynomial.md,
168,38,Mathematical-Foundations,MF1,1511,MF1.12.3.3,Supplementary Angles,3,3,237315,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,87,,,"Given that [MATH: AC^(―)] is a segment, what is the measure of [MATH: ∠BOC?][MATH: m∠BOC =]
[FREE_ENTRY 1][MATH: ^{∘}]","![](<../Source/12.3.3. Supplementary Angles/Images/q-237315.png>)

Given that $AC$ is a line segment, $m\angle BOC =$ ==87==$^\circ$.","{{image-1}}

Given that $AC$ is a line segment, $m\angle BOC =$ ==87==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/12. Geometry Fundamentals/12.3. Advanced Angles/Lessons/12.3.3. Supplementary Angles.md,
169,38,Mathematical-Foundations,MF1,1511,MF1.12.3.3,Supplementary Angles,6,6,236755,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,195 - 3x,,,"The measure of an angle that's supplementary to an angle of [MATH: (3x − 15)^{∘}] is[MATH: (]
[FREE_ENTRY 1][MATH: )^{∘}.]","An angle is supplementary to an angle measuring $(3x-15)^\circ$.

Its measure is $( $==195 - 3x==$ )^\circ$.","An angle is supplementary to an angle measuring $(3x-15)^\circ$.

Its measure is $( $==195 - 3x==$ )^\circ$.",vault/MA/Mathematical-Foundations/MF1/12. Geometry Fundamentals/12.3. Advanced Angles/Lessons/12.3.3. Supplementary Angles.md,
170,38,Mathematical-Foundations,MF1,1511,MF1.12.3.3,Supplementary Angles,7,7,171790,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,18,,,"Find the value of [MATH: x.][MATH: x =]
[FREE_ENTRY 1][MATH: ^{∘}]","![](<../Source/12.3.3. Supplementary Angles/Images/q-171790.png>)

$x =$ ==18==.","{{image-1}}

$x =$ ==18==.",vault/MA/Mathematical-Foundations/MF1/12. Geometry Fundamentals/12.3. Advanced Angles/Lessons/12.3.3. Supplementary Angles.md,
171,38,Mathematical-Foundations,MF1,496,MF1.13.1.1,Interior Angles of Triangles,1,1,171867,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,60,,,"In the figure above, [MATH: x =][FREE_ENTRY 1][MATH: ^{∘}.]","![](<../Source/13.1.1. Interior Angles of Triangles/Images/q-171867.png>)

$x =$ ==60==$^\circ$.","{{image-1}}

$x =$ ==60==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.1. Triangles/Lessons/13.1.1. Interior Angles of Triangles.md,
172,38,Mathematical-Foundations,MF1,496,MF1.13.1.1,Interior Angles of Triangles,3,3,171874,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,24,,,"In the figure above, [MATH: x =][FREE_ENTRY 1][MATH: ^{∘}.]","![](<../Source/13.1.1. Interior Angles of Triangles/Images/q-171874.png>)

$x =$ ==24==$^\circ$.","{{image-1}}

$x =$ ==24==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.1. Triangles/Lessons/13.1.1. Interior Angles of Triangles.md,
173,38,Mathematical-Foundations,MF1,496,MF1.13.1.1,Interior Angles of Triangles,6,6,235937,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,29,,,"The measure of an angle in a triangle is three times the measure of another angle, and the measure of the third angle is [MATH: 64^{∘}.] What is the measure of the smallest angle?The measure of the smallest angle is
[FREE_ENTRY 1][MATH: ^{∘}.]","One angle in a triangle is three times another, and the third angle is $64^\circ$.

The smallest angle measures ==29==$^\circ$.","One angle in a triangle is three times another, and the third angle is $64^\circ$.

The smallest angle measures ==29==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.1. Triangles/Lessons/13.1.1. Interior Angles of Triangles.md,
174,38,Mathematical-Foundations,MF1,496,MF1.13.1.1,Interior Angles of Triangles,8,8,171870,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,88,,,"Find the measure of angle [MATH: C] given that [MATH: m∠A = m∠B.][MATH: m∠C =]
[FREE_ENTRY 1][MATH: ^{∘}]","![](<../Source/13.1.1. Interior Angles of Triangles/Images/q-171870.png>)

Given $m\angle A=m\angle B$, $m\angle C =$ ==88==$^\circ$.","{{image-1}}

Given $m\angle A=m\angle B$, $m\angle C =$ ==88==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.1. Triangles/Lessons/13.1.1. Interior Angles of Triangles.md,
175,39,Mathematical-Foundations,MF1,4028,MF1.5.6.10,Unbounded Intervals,4,4,208734,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-5,,,"The interval [MATH: x ∈ [− 5, ∞)] corresponds to the inequality [MATH: x][FREE_ENTRY 1][FREE_ENTRY 2].",$x \ge$ ==-5==.,$x \ge$ ==-5==.,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Lessons/5.6.10. Unbounded Intervals.md,
176,39,Mathematical-Foundations,MF1,4028,MF1.5.6.10,Unbounded Intervals,7,7,214575,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-1,,,"The interval notation [MATH: x ∈ (− ∞, − 1)] corresponds to the inequality [MATH: x][FREE_ENTRY 1][FREE_ENTRY 2].",$x <$ ==-1==.,$x <$ ==-1==.,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Lessons/5.6.10. Unbounded Intervals.md,
177,39,Mathematical-Foundations,MF1,96,MF1.9.1.1,Absolute Value Expressions,2,2,212312,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,0,,,"If [MATH: t = − 1,] then [MATH: |t^{2} + t − 1|+ t =][FREE_ENTRY 1].","If $t =-1$, then $\mid t^{2} + t - 1 \mid + t =$

Answer: ==0==.","If $t =-1$, then $\mid t^{2} + t - 1 \mid + t =$

Answer: ==0==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.1. Absolute Value Expressions.md",
178,39,Mathematical-Foundations,MF1,96,MF1.9.1.1,Absolute Value Expressions,3,3,215795,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,9,,,"If [MATH: p = 3,] then [MATH: |3 − 5^{p − 2}|+ 7 =][FREE_ENTRY 1].","If $p = 3$, then $\mid 3 - 5^{p - 2} \mid + 7 =$

Answer: ==9==.","If $p = 3$, then $\mid 3 - 5^{p - 2} \mid + 7 =$

Answer: ==9==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.1. Absolute Value Expressions.md",
179,39,Mathematical-Foundations,MF1,96,MF1.9.1.1,Absolute Value Expressions,4,4,212318,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-1,,,"If [MATH: t = 0,] then [MATH: |t − 2|−|t + 3|=][FREE_ENTRY 1].","If $t = 0$, then $\mid t - 2 \mid - \mid t + 3 \mid =$

Answer: ==-1==.","If $t = 0$, then $\mid t - 2 \mid - \mid t + 3 \mid =$

Answer: ==-1==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.1. Absolute Value Expressions.md",
180,39,Mathematical-Foundations,MF1,96,MF1.9.1.1,Absolute Value Expressions,5,5,215805,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-9,,,"If [MATH: p = 1,] then [MATH: |p|^{4} − 4|p − 3|^{2} + 6 =][FREE_ENTRY 1].","If $p = 1$, then $\mid p \mid^{4} - 4\mid p - 3 \mid^{2} + 6 =$

Answer: ==-9==.","If $p = 1$, then $\mid p \mid^{4} - 4\mid p - 3 \mid^{2} + 6 =$

Answer: ==-9==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.1. Absolute Value Expressions.md",
181,39,Mathematical-Foundations,MF1,96,MF1.9.1.1,Absolute Value Expressions,6,6,212324,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-3,,,"If [MATH: y = 0,] then [MATH: 2|1 − 3^{y}|−|2^{y} − 4|=][FREE_ENTRY 1].","If $y = 0$, then $2\mid 1 - 3^{y} \mid - \mid 2^{y} - 4 \mid =$

Answer: ==-3==.","If $y = 0$, then $2\mid 1 - 3^{y} \mid - \mid 2^{y} - 4 \mid =$

Answer: ==-3==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.1. Absolute Value Expressions.md",
182,39,Mathematical-Foundations,MF1,1783,MF1.11.1.3,Simplifying Polynomials,5,5,215327,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2z^3 - 5z - 1,,,"Simplify the following polynomial, expressing your answer in standard form.[MATH: 6z^{3} − 5z − 4z^{3} − 1 =]
[FREE_ENTRY 1]","Simplify the following polynomial, expressing your answer in standard form.$6z^{3} - 5z - 4z^{3} - 1 =$

Answer: ==2z^3 - 5z - 1==.","Simplify the following polynomial, expressing your answer in standard form.$6z^{3} - 5z - 4z^{3} - 1 =$

Answer: ==2z^3 - 5z - 1==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.3. Simplifying Polynomials.md,
183,39,Mathematical-Foundations,MF1,1783,MF1.11.1.3,Simplifying Polynomials,6,6,215324,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3y^4 + 4y^2 + 5,,,"Simplify the following polynomial, expressing your answer in standard form.[MATH: 5 − 2y^{2} + 3y^{4} + 6y^{2} =]
[FREE_ENTRY 1]","Simplify the following polynomial, expressing your answer in standard form.$5 - 2y^{2} + 3y^{4} + 6y^{2} =$

Answer: ==3y^4 + 4y^2 + 5==.","Simplify the following polynomial, expressing your answer in standard form.$5 - 2y^{2} + 3y^{4} + 6y^{2} =$

Answer: ==3y^4 + 4y^2 + 5==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.3. Simplifying Polynomials.md,
184,39,Mathematical-Foundations,MF2,457,MF2.5.1.2,Converting From Logarithmic to Exponential Form,3,3,252550,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,216,,,"If the equation [MATH: \log_{6} 216 = 3] is equivalent to [MATH: b^{3} = a] for some constants [MATH: a] and [MATH: b,] then [MATH: a =][FREE_ENTRY 1].","If the equation $\log_{6} 216 = 3$ is equivalent to $b^{3} = a$ for some constants $a$ and $b$, then $a =$

Answer: ==216==.","If the equation $\log_{6} 216 = 3$ is equivalent to $b^{3} = a$ for some constants $a$ and $b$, then $a =$

Answer: ==216==.",vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.1. Introduction to Logarithms/Lessons/5.1.2. Converting From Logarithmic to Exponential Form.md,
185,39,Mathematical-Foundations,MF2,457,MF2.5.1.2,Converting From Logarithmic to Exponential Form,6,6,252598,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,25,,,"If the equation [MATH: \log_{25} 5 = (1)/(2)] is equivalent to [MATH: sqrt(b) = 5,] then [MATH: b =][FREE_ENTRY 1].","If the equation $\log_{25} 5 = \frac{1}{2}$ is equivalent to $\sqrt{b} = 5$, then $b =$

Answer: ==25==.","If the equation $\log_{25} 5 = \frac{1}{2}$ is equivalent to $\sqrt{b} = 5$, then $b =$

Answer: ==25==.",vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.1. Introduction to Logarithms/Lessons/5.1.2. Converting From Logarithmic to Exponential Form.md,
186,39,Mathematical-Foundations,MF2,457,MF2.5.1.2,Converting From Logarithmic to Exponential Form,8,8,252623,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"2^(1/2), 1.414",,,"Express the approximation [MATH: \log_{2} (1.414) ≈ (1)/(2)] in exponential form. Write the exponential term on the left-hand side.[FREE_ENTRY 1]
[MATH: ≈]
[FREE_ENTRY 2]","Write $\log_2(1.414)\approx 1/2$ in exponential form, with the exponential term on the left.

==2^(1/2)== $\approx$ ==1.414==.","Write $\log_2(1.414)\approx 1/2$ in exponential form, with the exponential term on the left.

==2^(1/2)== $\approx$ ==1.414==.",vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.1. Introduction to Logarithms/Lessons/5.1.2. Converting From Logarithmic to Exponential Form.md,
187,39,Mathematical-Foundations,MF2,457,MF2.5.1.2,Converting From Logarithmic to Exponential Form,10,10,252615,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2,,,"If the equation [MATH: \log_{2} ((1)/(8)) = − 3] is equivalent to [MATH: b^{− 3} = a,] then [MATH: b =][FREE_ENTRY 1].","If the equation $\log_{2} (\frac{1}{8}) =-3$ is equivalent to $b^{-3} = a$, then $b =$

Answer: ==2==.","If the equation $\log_{2} (\frac{1}{8}) =-3$ is equivalent to $b^{-3} = a$, then $b =$

Answer: ==2==.",vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.1. Introduction to Logarithms/Lessons/5.1.2. Converting From Logarithmic to Exponential Form.md,
188,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,2,2,212345,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-6, 6",,,"Written in ascending order, the solutions to [MATH: |7z|= 42] are [MATH: z =][FREE_ENTRY 1]
and [MATH: z =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid 7z \mid = 42$ are

Enter the blanks from left to right: ==-6==, ==6==.","Written in **ascending order**, the solutions to $\mid 7z \mid = 42$ are

Enter the blanks from left to right: ==-6==, ==6==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
189,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,3,3,212348,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-72, 72",,,"Written in ascending order, the solutions to [MATH: |(t)/(8)|= 9] are [MATH: t =][FREE_ENTRY 1]
and [MATH: t =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid \frac{t}{8} \mid = 9$ are

Enter the blanks from left to right: ==-72==, ==72==.","Written in **ascending order**, the solutions to $\mid \frac{t}{8} \mid = 9$ are

Enter the blanks from left to right: ==-72==, ==72==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
190,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,4,4,212350,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-4, -2/3",,,"Written in ascending order, the solutions to [MATH: |3z + 7|= 5] are [MATH: z =][FREE_ENTRY 1] and [MATH: z =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid 3z + 7 \mid = 5$ are

Enter the blanks from left to right: ==-4==, ==-2/3==.","Written in **ascending order**, the solutions to $\mid 3z + 7 \mid = 5$ are

Enter the blanks from left to right: ==-4==, ==-2/3==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
191,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,5,5,212362,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"1, 5/3",,,"Written in ascending order, the solutions to [MATH: |3x − 4|= 1] are [MATH: x =][FREE_ENTRY 1] and [MATH: x =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid 3x - 4 \mid = 1$ are

Enter the blanks from left to right: ==1==, ==5/3==.","Written in **ascending order**, the solutions to $\mid 3x - 4 \mid = 1$ are

Enter the blanks from left to right: ==1==, ==5/3==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
192,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,6,6,212364,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-7, 11",,,"Written in ascending order, the solutions to [MATH: |2 − k|= 9] are [MATH: k =][FREE_ENTRY 1] and [MATH: k =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid 2 - k \mid = 9$ are

Enter the blanks from left to right: ==-7==, ==11==.","Written in **ascending order**, the solutions to $\mid 2 - k \mid = 9$ are

Enter the blanks from left to right: ==-7==, ==11==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
193,40,Mathematical-Foundations,MF1,384,MF1.9.1.4,Absolute Value Equations,8,8,215295,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"-16, 4",,,"Written in ascending order, the solutions to [MATH: |(1)/(2)x + 3|= 5] are [MATH: x =][FREE_ENTRY 1] and [MATH: x =]
[FREE_ENTRY 2].","Written in **ascending order**, the solutions to $\mid \frac{1}{2}x + 3 \mid = 5$ are

Enter the blanks from left to right: ==-16==, ==4==.","Written in **ascending order**, the solutions to $\mid \frac{1}{2}x + 3 \mid = 5$ are

Enter the blanks from left to right: ==-16==, ==4==.","vault/MA/Mathematical-Foundations/MF1/9. Absolute Value/9.1. Absolute Value Expressions, Equations & Inequalities/Lessons/9.1.4. Absolute Value Equations.md",
194,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,2,2,236184,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,x^3 + 2x + 5,,,"Write the following polynomial in standard form.[MATH: (x^{3} − x + 6) + (3x − 1) =]
[FREE_ENTRY 1]","Write the following polynomial in **standard form**.$(x^{3} - x + 6) + (3x - 1) =$

Answer: ==x^3 + 2x + 5==.","Write the following polynomial in **standard form**.$(x^{3} - x + 6) + (3x - 1) =$

Answer: ==x^3 + 2x + 5==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
195,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,4,4,215307,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,3y^2 + 5y + 5,,,"Given that [MATH: f(y) = 3y^{2} − 2] and [MATH: g(y) = 5y + 7,] write [MATH: f(y) + g(y)] in standard form.[MATH: f(y) + g(y) =]
[FREE_ENTRY 1]","Given that $f(y) = 3y^{2} - 2$ and $g(y) = 5y + 7$, write $f(y) + g(y)$ in **standard form**.$f(y) + g(y) =$

Answer: ==3y^2 + 5y + 5==.","Given that $f(y) = 3y^{2} - 2$ and $g(y) = 5y + 7$, write $f(y) + g(y)$ in **standard form**.$f(y) + g(y) =$

Answer: ==3y^2 + 5y + 5==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
196,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,6,6,212969,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,-2x^3 - 3x,,,"Given that [MATH: f(x) = x^{3} + 2x − 3] and [MATH: g(x) = − 3x^{3} − 5x + 3,] write [MATH: f(x) + g(x)] in standard form.[MATH: f(x) + g(x) =]
[FREE_ENTRY 1]","Given that $f(x) = x^{3} + 2x - 3$ and $g(x) =-3x^{3} - 5x + 3$, write $f(x) + g(x)$ in **standard form.**$f(x) + g(x) =$

Answer: ==-2x^3 - 3x==.","Given that $f(x) = x^{3} + 2x - 3$ and $g(x) =-3x^{3} - 5x + 3$, write $f(x) + g(x)$ in **standard form.**$f(x) + g(x) =$

Answer: ==-2x^3 - 3x==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
197,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,8,8,215310,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,4x^3 - 3x - 4,,,"Write the following polynomial in standard form.[MATH: (4x^{3} + 5x − 7) − (8x − 3) =]
[FREE_ENTRY 1]","Write the following polynomial in **standard form**.$(4x^{3} + 5x - 7) - (8x - 3) =$

Answer: ==4x^3 - 3x - 4==.","Write the following polynomial in **standard form**.$(4x^{3} + 5x - 7) - (8x - 3) =$

Answer: ==4x^3 - 3x - 4==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
198,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,10,10,236421,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2x^2 - 3x + 1,,,"Given that [MATH: f(x) = 3x^{2} + 1] and [MATH: g(x) = x^{2} + 3x,] write [MATH: f(x) − g(x)] in standard form.[MATH: f(x) − g(x) =]
[FREE_ENTRY 1]","Given that $f(x) = 3x^{2} + 1$ and $g(x) = x^{2} + 3x$, write $f(x) - g(x)$ in **standard form**.$f(x) - g(x) =$

Answer: ==2x^2 - 3x + 1==.","Given that $f(x) = 3x^{2} + 1$ and $g(x) = x^{2} + 3x$, write $f(x) - g(x)$ in **standard form**.$f(x) - g(x) =$

Answer: ==2x^2 - 3x + 1==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
199,40,Mathematical-Foundations,MF1,81,MF1.11.1.5,Adding and Subtracting Polynomials,11,11,212976,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2x^4 - 3x^2 + 12x,,,"Given that [MATH: f(x) = 2x^{4} + 5x] and [MATH: g(x) = 3x^{2} − 7x,] write [MATH: f(x) − g(x)] in standard form.[MATH: f(x) − g(x) =]
[FREE_ENTRY 1]","Given that $f(x) = 2x^{4} + 5x$ and $g(x) = 3x^{2} - 7x$, write $f(x) - g(x)$ in **standard form**.$f(x) - g(x) =$

Answer: ==2x^4 - 3x^2 + 12x==.","Given that $f(x) = 2x^{4} + 5x$ and $g(x) = 3x^{2} - 7x$, write $f(x) - g(x)$ in **standard form**.$f(x) - g(x) =$

Answer: ==2x^4 - 3x^2 + 12x==.",vault/MA/Mathematical-Foundations/MF1/11. Polynomials/11.1. Polynomials/Lessons/11.1.5. Adding and Subtracting Polynomials.md,
200,40,Mathematical-Foundations,MF1,1321,MF1.13.2.3,Exterior Angles of Polygons,3,3,171902,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,110,,,"For the quadrilateral above, the measure of the exterior angle of [MATH: ∠D] is[FREE_ENTRY 1]
[MATH: ^{∘}.]","![](<../Source/13.2.3. Exterior Angles of Polygons/Images/q-171902.png>)

The exterior angle at $D$ measures ==110==$^\circ$.","{{image-1}}

The exterior angle at $D$ measures ==110==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.2. Polygons/Lessons/13.2.3. Exterior Angles of Polygons.md,
201,40,Mathematical-Foundations,MF1,1321,MF1.13.2.3,Exterior Angles of Polygons,6,6,223207,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,33.75,,,"Given the pentagon above, we have [MATH: x =][FREE_ENTRY 1] [MATH: ^{∘}.]","![](<../Source/13.2.3. Exterior Angles of Polygons/Images/q-223207.png>)

$x =$ ==33.75==$^\circ$.","{{image-1}}

$x =$ ==33.75==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.2. Polygons/Lessons/13.2.3. Exterior Angles of Polygons.md,
202,40,Mathematical-Foundations,MF1,1321,MF1.13.2.3,Exterior Angles of Polygons,7,7,171908,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,42,,,"For the quadrilateral above, the measure of the exterior angle of [MATH: ∠B] is[FREE_ENTRY 1]
[MATH: ^{∘}.]","![](<../Source/13.2.3. Exterior Angles of Polygons/Images/q-171908.png>)

The exterior angle at $B$ measures ==42==$^\circ$.","{{image-1}}

The exterior angle at $B$ measures ==42==$^\circ$.",vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.2. Polygons/Lessons/13.2.3. Exterior Angles of Polygons.md,
203,41,Mathematical-Foundations,MF1,2274,MF1.2.2.4,Modeling with Direct Variation,2,2,210497,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,0.01,,,"The pressure [MATH: p] of a fixed volume of a particular gas, measured in atmospheres [MATH: (atm),] is directly proportional to its temperature [MATH: T,] measured in Kelvin [MATH: (K).] When the pressure of the gas is [MATH: p = 3.6atm,] its temperature is [MATH: T = 360K.] What is the constant of variation?The constant of variation is
[FREE_ENTRY 1][MATH: (atm)/(K).]","Pressure in atmospheres varies directly with temperature in kelvins. If $p=3.6$ atm when $T=360$ K, the constant of variation is ==0.01== $\mathrm{atm/K}$.","Pressure in atmospheres varies directly with temperature in kelvins. If $p=3.6$ atm when $T=360$ K, the constant of variation is ==0.01== $\mathrm{atm/K}$.",vault/MA/Mathematical-Foundations/MF1/2. Ratios & Percentages/2.2. Proportional Relationships/Lessons/2.2.4. Modeling with Direct Variation.md,
